year,city,avg_temp_city
1854,Cairo,20.74
1855,Cairo,21.04
1856,Cairo,20.49
1857,Cairo,20.29
1858,Cairo,20.90
1859,Cairo,20.98
1860,Cairo,21.33
1861,Cairo,20.21
1862,Cairo,20.22
1863,Cairo,20.60
1864,Cairo,21.25
1865,Cairo,21.55
1866,Cairo,21.35
1867,Cairo,21.45
1868,Cairo,20.94
1869,Cairo,21.41
1870,Cairo,21.30
1871,Cairo,20.87
1872,Cairo,21.14
1873,Cairo,21.40
1874,Cairo,20.77
1875,Cairo,19.99
1876,Cairo,21.05
1877,Cairo,21.39
1878,Cairo,21.54
1879,Cairo,21.49
1880,Cairo,21.20
1881,Cairo,21.56
1882,Cairo,20.38
1883,Cairo,20.65
1884,Cairo,20.23
1885,Cairo,20.91
1886,Cairo,20.55
1887,Cairo,21.21
1888,Cairo,21.04
1889,Cairo,21.05
1890,Cairo,21.09
1891,Cairo,21.13
1892,Cairo,21.39
1893,Cairo,20.57
1894,Cairo,20.95
1895,Cairo,20.97
1896,Cairo,21.17
1897,Cairo,20.82
1898,Cairo,20.92
1899,Cairo,21.04
1900,Cairo,21.57
1901,Cairo,21.89
1902,Cairo,21.36
1903,Cairo,20.39
1904,Cairo,20.61
1905,Cairo,21.03
1906,Cairo,21.24
1907,Cairo,20.45
1908,Cairo,20.37
1909,Cairo,21.40
1910,Cairo,20.65
1911,Cairo,20.78
1912,Cairo,20.79
1913,Cairo,20.40
1914,Cairo,20.96
1915,Cairo,21.57
1916,Cairo,21.73
1917,Cairo,21.12
1918,Cairo,21.43
1919,Cairo,21.43
1920,Cairo,20.72
1921,Cairo,20.73
1922,Cairo,21.39
1923,Cairo,21.39
1924,Cairo,21.61
1925,Cairo,21.37
1926,Cairo,21.22
1927,Cairo,21.76
1928,Cairo,21.72
1929,Cairo,21.07
1930,Cairo,21.73
1931,Cairo,21.60
1932,Cairo,21.43
1933,Cairo,21.24
1934,Cairo,21.52
1935,Cairo,21.61
1936,Cairo,22.00
1937,Cairo,21.82
1938,Cairo,20.92
1939,Cairo,21.85
1940,Cairo,21.59
1941,Cairo,21.76
1942,Cairo,21.59
1943,Cairo,21.35
1944,Cairo,21.40
1945,Cairo,20.83
1946,Cairo,21.76
1947,Cairo,21.94
1948,Cairo,20.88
1949,Cairo,20.68
1950,Cairo,21.53
1951,Cairo,21.82
1952,Cairo,21.92
1953,Cairo,21.17
1954,Cairo,21.45
1955,Cairo,22.10
1956,Cairo,21.48
1957,Cairo,21.49
1958,Cairo,21.85
1959,Cairo,20.98
1960,Cairo,22.30
1961,Cairo,21.14
1962,Cairo,22.11
1963,Cairo,22.09
1964,Cairo,21.07
1965,Cairo,21.52
1966,Cairo,22.10
1967,Cairo,20.92
1968,Cairo,21.48
1969,Cairo,21.88
1970,Cairo,21.53
1971,Cairo,21.41
1972,Cairo,21.57
1973,Cairo,21.42
1974,Cairo,21.55
1975,Cairo,21.35
1976,Cairo,21.28
1977,Cairo,21.57
1978,Cairo,21.67
1979,Cairo,22.06
1980,Cairo,21.52
1981,Cairo,21.42
1982,Cairo,21.04
1983,Cairo,20.75
1984,Cairo,21.32
1985,Cairo,21.72
1986,Cairo,21.52
1987,Cairo,21.24
1988,Cairo,21.65
1989,Cairo,21.43
1990,Cairo,21.60
1991,Cairo,21.65
1992,Cairo,21.11
1993,Cairo,21.79
1994,Cairo,22.02
1995,Cairo,21.56
1996,Cairo,21.88
1997,Cairo,21.45
1998,Cairo,22.36
1999,Cairo,22.28
2000,Cairo,21.49
2001,Cairo,22.33
2002,Cairo,22.41
2003,Cairo,22.17
2004,Cairo,22.08
2005,Cairo,22.01
2006,Cairo,22.05
2007,Cairo,22.36
2008,Cairo,22.64
2009,Cairo,22.63
2010,Cairo,23.72
2011,Cairo,21.99
2012,Cairo,22.48
2013,Cairo,22.91
1743,Chicago,5.44
1744,Chicago,11.73
1745,Chicago,1.80
1746,Chicago,
1747,Chicago,
1748,Chicago,
1749,Chicago,
1750,Chicago,10.49
1751,Chicago,11.19
1752,Chicago,4.50
1753,Chicago,10.04
1754,Chicago,10.64
1755,Chicago,7.41
1756,Chicago,11.15
1757,Chicago,9.50
1758,Chicago,8.61
1759,Chicago,9.59
1760,Chicago,8.05
1761,Chicago,10.40
1762,Chicago,9.82
1763,Chicago,7.72
1764,Chicago,10.63
1765,Chicago,9.78
1766,Chicago,10.49
1767,Chicago,9.41
1768,Chicago,8.95
1769,Chicago,9.79
1770,Chicago,9.66
1771,Chicago,10.44
1772,Chicago,10.27
1773,Chicago,10.42
1774,Chicago,10.27
1775,Chicago,10.99
1776,Chicago,9.98
1777,Chicago,9.67
1778,Chicago,7.63
1779,Chicago,10.32
1780,Chicago,12.54
1781,Chicago,10.18
1782,Chicago,9.69
1783,Chicago,9.44
1784,Chicago,9.40
1785,Chicago,9.20
1786,Chicago,9.75
1787,Chicago,9.78
1788,Chicago,10.28
1789,Chicago,10.03
1790,Chicago,9.93
1791,Chicago,10.12
1792,Chicago,9.62
1793,Chicago,10.20
1794,Chicago,10.30
1795,Chicago,10.01
1796,Chicago,9.92
1797,Chicago,9.66
1798,Chicago,10.43
1799,Chicago,10.11
1800,Chicago,10.11
1801,Chicago,10.47
1802,Chicago,10.66
1803,Chicago,10.48
1804,Chicago,10.41
1805,Chicago,10.63
1806,Chicago,10.10
1807,Chicago,9.88
1808,Chicago,9.84
1809,Chicago,9.04
1810,Chicago,9.22
1811,Chicago,9.37
1812,Chicago,8.34
1813,Chicago,9.67
1814,Chicago,9.55
1815,Chicago,8.86
1816,Chicago,8.27
1817,Chicago,8.54
1818,Chicago,9.42
1819,Chicago,9.19
1820,Chicago,9.02
